Best,90th,Median,Worst
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3926,4028
3825,3827,3926,4028
3825,3827,3926,4028
3825,3827,3926,4028
3825,3827,3926,4028
3825,3827,3926,4028
3825,3827,3926,4028
3825,3827,3926,4028
3825,3827,3926,4028
3825,3827,3926,4028
3825,3827,3926,4028
3825,3827,3926,4028
3825,3827,3926,4028
3825,3827,3926,4028
3825,3827,3926,4028
3825,3827,3926,4028
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
